GO Term,Number of Entries,Name
GO:0097289,0, alpha-ribazole metabolic process
GO:0072198,0, mesenchymal cell proliferation involved in ureter development
GO:0097054,0, L-glutamate biosynthetic process
GO:0097480,0, establishment of synaptic vesicle localization
GO:0098718,0, serine import across plasma membrane
GO:1902432,0, protein localization to division septum
GO:0046455,0, organosilicon catabolic process
GO:0042208,0, propylene catabolic process
GO:0075606,0, transport of viral material towards nucleus
GO:0007258,0, JUN phosphorylation
GO:0019043,0, establishment of viral latency
GO:0051906,0, maintenance of pigment granule location
GO:0009091,0, homoserine catabolic process
GO:0070880,0, fungal-type cell wall beta-glucan biosynthetic process
GO:0035232,0, germ cell attraction
GO:0075502,0, endosome membrane permeabilization involved in viral entry into host cell
GO:0075505,0, entry of intact viral capsid into host nucleus through nuclear pore complex
GO:0046765,0, viral budding from nuclear membrane
GO:0000096,0, sulfur amino acid metabolic process
GO:0034213,0, quinolinate catabolic process
GO:0010142,0," farnesyl diphosphate biosynthetic process, mevalonate pathway"
GO:0019046,0, release from viral latency
GO:0046762,0, viral budding from endoplasmic reticulum membrane
GO:0046708,0, IDP biosynthetic process
GO:0009199,0, ribonucleoside triphosphate metabolic process
GO:0075530,0, establishment of latency as a linear episome
GO:0051761,0, sesquiterpene metabolic process
GO:0110122,0, myotube cell migration
GO:0098669,0, superinfection exclusion
GO:0075520,0, actin-dependent intracellular transport of virus
GO:0099002,0," symbiont genome ejection through host cell envelope, short tail mechanism"
GO:0140889,0, DNA replication-dependent chromatin disassembly
GO:0000756,0, response to pheromone regulating conjugation with mutual genetic exchange
GO:0075733,0, intracellular transport of virus
GO:0075504,0, macropinosomal membrane permeabilization involved in viral entry into host cell
GO:0062171,0, lutein biosynthetic process
GO:0061531,0, primary amine secretion
GO:0033380,0, granzyme B localization to T cell secretory granule
GO:0039698,0, polyadenylation of viral mRNA by polymerase stuttering
GO:0019070,0, viral genome maturation
GO:0070222,0," sulfide oxidation, using sulfide dehydrogenase"
GO:0098035,0, viral DNA genome packaging via site-specific sequence recognition
GO:1900785,0, naphtho-gamma-pyrone metabolic process
GO:0018888,0, 3-chloroacrylic acid metabolic process
GO:0003260,0, cardioblast migration
GO:0039654,0, fusion of virus membrane with host endosome membrane
GO:0071332,0, cellular response to fructose stimulus
GO:0019072,0, viral genome packaging
GO:0097174,0," 1,6-anhydro-N-acetyl-beta-muramic acid metabolic process"
GO:0021968,0, corticospinal neuron axon guidance through the internal capsule
GO:0019501,0, arsonoacetate catabolic process
GO:0098677,0, virion maturation
GO:0101026,0, mitotic nuclear membrane biogenesis
GO:0019073,0, viral DNA genome packaging
GO:0019493,0, arginine catabolic process to proline
GO:0075713,0, establishment of integrated proviral latency
GO:0002001,0, renin secretion into blood stream
GO:0006587,0, serotonin biosynthetic process from tryptophan
GO:0019082,0, viral protein processing
GO:1901908,0, diadenosine hexaphosphate metabolic process
GO:0039704,0, viral translational shunt
GO:0018896,0, dibenzothiophene catabolic process
GO:1990069,0, stomatal opening
GO:0044826,0, viral genome integration into host DNA
GO:0019463,0, glycine catabolic process to creatine
GO:0045017,0, glycerolipid biosynthetic process
GO:0039708,0, nuclear capsid assembly
GO:2001121,0, coenzyme gamma-F420-2 biosynthetic process
GO:0090332,0, stomatal closure
GO:0075514,0, endosome lysis involved in viral entry into host cell
GO:0099009,0, viral genome circularization
GO:0019042,0, viral latency
GO:0039711,0, cytoplasmic helical capsid assembly
GO:0035353,0, nicotinamide mononucleotide transmembrane transport
GO:0099000,0," symbiont genome ejection through host cell envelope, contractile tail mechanism"
GO:0061171,0, establishment of bipolar cell polarity
GO:0019080,0, viral gene expression
GO:0009273,0, peptidoglycan-based cell wall biogenesis
GO:0140725,0, detoxification of free heme
GO:1900160,0, plastid chromosome packaging
GO:1901832,0, all-trans-neoxanthin catabolic process
GO:0036244,0, cellular response to neutral pH
GO:0031163,0, metallo-sulfur cluster assembly
GO:0072764,0, cellular response to reversine
GO:1990461,0, detoxification of iron ion
GO:0032361,0, pyridoxal phosphate catabolic process
GO:0051410,0, detoxification of nitrogen compound
GO:0039663,0, membrane fusion involved in viral entry into host cell
GO:0046807,0, viral scaffold assembly and maintenance
GO:0098036,0," viral DNA genome packaging, 3' extended cos packaging"
GO:0046786,0, viral replication complex formation and maintenance
GO:0042851,0, L-alanine metabolic process
GO:0098004,0, virus tail fiber assembly
GO:1901965,0, endoplasmic reticulum to chloroplast transport
GO:0071994,0, phytochelatin transmembrane transport
GO:0039697,0, negative stranded viral RNA transcription
GO:0075519,0, microtubule-dependent intracellular transport of viral material
GO:0075720,0, establishment of episomal latency
GO:0019085,0, early viral transcription
GO:0060813,0, anterior mRNA localization involved in anterior/posterior axis specification
GO:0052543,0, callose deposition in cell wall
GO:0098678,0, viral tropism switching
GO:1902386,0, glycyrrhetinate biosynthetic process
GO:1904919,0, transmembrane L-cystine transport from lysosomal lumen to cytosol
GO:0052325,0, cell wall pectin biosynthetic process
GO:0075732,0, viral penetration into host nucleus
GO:0039701,0, microtubule-dependent intracellular transport of viral material towards cell periphery
GO:0046342,0, CDP-diacylglycerol catabolic process
GO:0120174,0, stress-induced homeostatically regulated protein degradation pathway
GO:0075526,0, cap snatching
GO:0046771,0, viral budding from inner nuclear membrane
GO:0071234,0, cellular response to phenylalanine
GO:0039678,0, symbiont genome ejection through host cell envelope
GO:0039680,0, actin-dependent intracellular transport of virus towards nucleus
GO:0019045,0, latent virus replication
GO:0060607,0, cell-cell adhesion involved in sealing an epithelial fold
GO:1900801,0, cspyrone B1 catabolic process
GO:0033056,0, D-ornithine metabolic process
GO:0075529,0, establishment of latency as a circular episome
GO:1901512,0, (-)-microperfuranone biosynthetic process
GO:0140455,0, cytoplasm protein quality control
GO:0034496,0, multivesicular body membrane disassembly
GO:0016129,0, phytosteroid biosynthetic process
GO:0009232,0, riboflavin catabolic process
GO:0018190,0, protein octanoylation
GO:0046950,0, cellular ketone body metabolic process
GO:0018103,0, protein C-linked glycosylation
GO:0140909,0, kinetoplast DNA replication
GO:0034411,0, cell wall (1->3)-beta-D-glucan biosynthetic process
GO:0009090,0, homoserine biosynthetic process
GO:0046521,0, sphingoid catabolic process
GO:0030153,0, bacteriocin immunity
GO:0090423,0, phytochelatin-metal complex formation
GO:0019320,0, hexose catabolic process
0016032,0,
GO:0015859,0, intracellular nucleoside transport
GO:0090605,0, submerged biofilm formation
GO:0075508,0, entry of viral genome into host nucleus via retainment of capsid in nuclear pore complex and release of genome into nucleoplasm
GO:0046305,0, alkanesulfonate biosynthetic process
GO:0075511,0, macropinosome lysis involved in viral entry into host cell
GO:0009205,0, purine ribonucleoside triphosphate metabolic process
GO:1904606,0, fat cell apoptotic process
GO:0019611,0, 4-toluenecarboxylate metabolic process
GO:0019083,0, viral transcription
GO:0071990,0, maintenance of protein location to spindle pole body
GO:1901150,0, vistamycin metabolic process
GO:1904374,0, cellular response to kainic acid
GO:0010497,0, plasmodesmata-mediated intercellular transport
GO:1901270,0, lipooligosaccharide catabolic process
GO:0046220,0, pyridine biosynthetic process
GO:0033497,0, sinapate biosynthetic process
GO:0010392,0, galactoglucomannan metabolic process
GO:0000491,0, small nucleolar ribonucleoprotein complex assembly
GO:1901616,0, organic hydroxy compound catabolic process
GO:0036525,0, protein deglycation
GO:0009407,0, toxin catabolic process
GO:1900880,0, 18-methylnonadec-1-ene metabolic process
GO:1903185,0, L-dopa biosynthetic process
GO:0036196,0, zymosterol metabolic process
GO:0052648,0, ribitol phosphate metabolic process
GO:1990432,0, siRNA 3'-end processing
GO:0002148,0, hypochlorous acid metabolic process
GO:0033073,0, pinene metabolic process
GO:1902988,0, neurofibrillary tangle assembly
GO:0018173,0, peptidyl-1-thioglycine biosynthetic process from peptidyl-glycine
GO:1900603,0, tensidol A metabolic process
GO:0009831,0, plant-type cell wall modification involved in multidimensional cell growth
GO:1902300,0, galactarate transmembrane transport
GO:0019415,0, acetate biosynthetic process from carbon monoxide
GO:0044581,0, butyryl-CoA catabolic process to butyrate
GO:0018939,0, n-octane metabolic process
GO:0070220,0, aerobic sulfur oxidation
GO:0048753,0, pigment granule organization
GO:1901931,0, alpha-copaene biosynthetic process
GO:0075503,0, fusion of virus membrane with host macropinosome membrane
GO:0098005,0, viral head-tail joining
GO:0009179,0, purine ribonucleoside diphosphate metabolic process
GO:0098037,0," viral DNA genome packaging, 5' extended cos packaging"
GO:0075507,0, entry of viral genome into host nucleus via docking of viral capsid to the nuclear pore complex and injection of viral genome
GO:0098006,0," viral DNA genome packaging, headful"
GO:0019069,0, viral capsid assembly
GO:0031038,0, myosin II filament organization
GO:0046772,0, viral budding from outer nuclear membrane
GO:0032359,0, provirus excision
GO:0019084,0, middle viral transcription
GO:0120084,0, endothelial tip cell filopodium assembly
GO:1990831,0, cellular response to carcinoembryonic antigen
GO:0140541,0, piRNA transcription
GO:0039695,0, DNA-templated viral transcription
GO:0039710,0, cytoplasmic icosahedral capsid assembly
GO:0006797,0, polyphosphate metabolic process
GO:1902925,0, poly(hydroxyalkanoate) biosynthetic process from fatty acid
GO:0098045,0, virus baseplate assembly
GO:0039696,0, RNA-templated viral transcription
GO:0044786,0, cell cycle DNA replication
GO:0009686,0, gibberellin biosynthetic process
GO:0070716,0, mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication
GO:0018976,0," 1,2,3-tribromopropane metabolic process"
GO:0042340,0, keratan sulfate catabolic process
GO:0098689,0, latency-replication decision
GO:1990688,0, Golgi vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane
GO:0010421,0, hydrogen peroxide-mediated programmed cell death
GO:0075521,0, microtubule-dependent intracellular transport of viral material towards nucleus
GO:1905346,0, protein localization to cleavage furrow rim
GO:0039700,0, fusion of viral membrane with host outer nuclear membrane
GO:0031147,0," 1-(3,5-dichloro-2,6-dihydroxy-4-methoxyphenyl)hexan-1-one metabolic process"
GO:0019061,0, uncoating of virus
GO:0019044,0, maintenance of viral latency
GO:0072747,0, cellular response to chloramphenicol
GO:0098003,0, viral tail assembly
GO:0022032,0, telencephalon oligodendrocyte cell migration
GO:0039709,0, cytoplasmic capsid assembly
GO:0022031,0, telencephalon astrocyte cell migration
GO:0090677,0, reversible differentiation
GO:0099001,0," symbiont genome ejection through host cell envelope, long flexible tail mechanism"
GO:1990799,0, mitochondrial tRNA wobble position uridine thiolation
GO:1900634,0, pentadecane biosynthetic process
GO:0043102,0, amino acid salvage
GO:0072319,0, vesicle uncoating
GO:0042864,0, pyochelin biosynthetic process
GO:0039665,0, permeabilization of host organelle membrane involved in viral entry into host cell
GO:0039664,0, lysis of host organelle involved in viral entry into host cell
GO:0075524,0, ribosomal skipping
GO:0075527,0, viral RNA editing
GO:0046794,0, transport of virus
GO:1900554,0, asperfuranone biosynthetic process
GO:0009302,0, sno(s)RNA transcription
GO:0046760,0, viral budding from Golgi membrane
GO:0048134,0, germ-line cyst formation
GO:0071722,0, detoxification of arsenic-containing substance
GO:0060882,0, basement membrane disassembly involved in semicircular canal fusion
GO:0009668,0, plastid membrane organization
GO:0043694,0, monoterpene catabolic process
GO:0009171,0, purine deoxyribonucleoside monophosphate biosynthetic process
GO:2001104,0, heptasaccharide transport
GO:0015703,0, chromate transport
GO:0061619,0, glycolytic process from mannose through fructose-6-phosphate
GO:0140820,0, cytosol to Golgi apparatus transport
GO:0075513,0, caveolin-mediated endocytosis of virus by host cell
GO:0007300,0, ovarian nurse cell to oocyte transport
GO:0031919,0, vitamin B6 transport
GO:0072598,0, protein localization to chloroplast
GO:0015714,0, phosphoenolpyruvate transport
GO:0052542,0, defense response by callose deposition
GO:0043449,0, cellular alkene metabolic process
GO:0019503,0, L-proline betaine biosynthetic process
GO:0021855,0, hypothalamus cell migration
GO:0072464,0, response to meiotic spindle assembly checkpoint signaling
GO:0015728,0, mevalonate transport
GO:0033364,0, mast cell secretory granule organization
GO:0019755,0, one-carbon compound transport
GO:1901907,0, diadenosine pentaphosphate catabolic process
GO:0015691,0, cadmium ion transport
GO:0015716,0, organic phosphonate transport
GO:2001102,0, hexasaccharide transport
GO:0015704,0, cyanate transport
GO:0036248,0, phytochelatin 4 import into vacuole
GO:0051652,0, maintenance of chromosome location
GO:0015843,0, methylammonium transport
GO:0000770,0, peptide pheromone export
GO:0042915,0, group A colicin transport
GO:0015899,0, aminotriazole transport
GO:0110102,0, ribulose bisphosphate carboxylase complex assembly
GO:1904584,0, cellular response to polyamine macromolecule
GO:0071210,0, protein insertion into membrane raft
GO:1902025,0, nitrate import
GO:0032065,0, maintenance of protein location in cell cortex
GO:1902085,0, fumagillin catabolic process
GO:0001896,0, autolysis
GO:0097479,0, synaptic vesicle localization
GO:0072749,0, cellular response to cytochalasin B
GO:0062097,0, chemosynthesis
GO:0051030,0, snRNA transport
GO:0071365,0, cellular response to auxin stimulus
GO:1905660,0, mitotic checkpoint complex assembly
GO:0042893,0, polymyxin transport
GO:0072386,0, plus-end-directed organelle transport along microtubule
GO:0036299,0, non-recombinational interstrand cross-link repair
GO:0080168,0, abscisic acid transport
GO:1900883,0, 17-methylnonadec-1-ene biosynthetic process
GO:0015868,0, purine ribonucleotide transport
GO:0001119,0, protein-DNA-RNA complex remodeling
GO:1904405,0, cellular response to formaldehyde
GO:0015856,0, cytosine transport
GO:0051236,0, establishment of RNA localization
GO:0015766,0, disaccharide transport
GO:0015772,0, oligosaccharide transport
GO:0033231,0, carbohydrate export
GO:0010299,0, detoxification of cobalt ion
GO:0033271,0, myo-inositol phosphate transport
GO:2001097,0, laminaritriose transport
GO:0097222,0, mitochondrial mRNA polyadenylation
GO:0015864,0, pyrimidine nucleoside transport
GO:0071948,0, activation-induced B cell apoptotic process
GO:0006864,0, pyrimidine nucleotide transport
GO:1900604,0, tensidol A catabolic process
GO:0071721,0, sodium-independent thromboxane transport
GO:0098657,0, import into cell
GO:0033544,0," fatty acid beta-oxidation, unsaturated, even number, epimerase pathway"
GO:0080051,0, cutin transport
GO:0042862,0, achromobactin catabolic process
GO:0090137,0, epithelial cell-cell adhesion involved in epithelium migration
GO:0019630,0, quinate metabolic process
GO:0043650,0, dicarboxylic acid biosynthetic process
GO:0051305,0, chromosome movement towards spindle pole
GO:0000950,0, branched-chain amino acid catabolic process to alcohol via Ehrlich pathway
GO:0015709,0, thiosulfate transport
GO:0015987,0, GTP synthesis coupled proton transport
GO:1901481,0, L-glutamate import involved in cellular response to nitrogen starvation
GO:0051237,0, maintenance of RNA location
GO:1900812,0, helvolic acid biosynthetic process
GO:0034630,0, RITS complex localization
GO:0019665,0, anaerobic amino acid catabolic process
GO:0043213,0, bacteriocin transport
GO:0018957,0," phenanthrene catabolic process via trans-9(S),10(S)-dihydrodiolphenanthrene"
GO:0072515,0, trehalose transport in response to desiccation
GO:0097656,0, cell-cell self recognition
GO:0070058,0, tRNA gene clustering
GO:0034196,0, acylglycerol transport
GO:0042894,0, fosmidomycin transport
GO:0036088,0, D-serine catabolic process
GO:0060151,0, peroxisome localization
GO:0010069,0, zygote asymmetric cytokinesis in embryo sac
GO:1901783,0, p-cumate biosynthetic process
GO:0097380,0, dorsal spinal cord interneuron anterior axon guidance
GO:0043464,0, malolactic fermentation
GO:0033051,0, aminophosphonate metabolic process
GO:0018934,0, nitrilotriacetate metabolic process
GO:0001762,0, beta-alanine transport
GO:0010148,0, transpiration
GO:0015891,0, siderophore transport
GO:0019295,0, coenzyme M biosynthetic process
GO:0006540,0, gamma-aminobutyrate shunt
GO:0110120,0, gamma-tubulin complex localization to nuclear side of mitotic spindle pole body
GO:2001094,0, xylotriose transport
GO:0019241,0, citrulline catabolic process
GO:1904314,0, cellular response to methamphetamine hydrochloride
GO:0070614,0, tungstate ion transport
GO:1900607,0, tensidol B catabolic process
GO:1901803,0," 1,5-anhydro-D-fructose biosynthetic process"
GO:0015916,0, fatty-acyl-CoA transport
GO:0160022,0, apocrine secretion
GO:0006842,0, tricarboxylic acid transport
GO:0046053,0, dAMP metabolic process
GO:0006240,0, dCDP biosynthetic process
GO:0051686,0, establishment of ER localization
GO:2001105,0, maltoheptaose transport
GO:0080160,0, selenate transport
GO:1902381,0, 11-oxo-beta-amyrin metabolic process
GO:0061584,0, orexin secretion
GO:0052703,0, cellular modified histidine biosynthetic process
GO:0046864,0, isoprenoid transport
GO:1900753,0, doxorubicin transport
GO:0090685,0, RNA localization to nucleus
GO:0015765,0, methylgalactoside transport
GO:0061720,0, 6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde
GO:0042791,0, 5S class rRNA transcription by RNA polymerase III
GO:0000098,0, sulfur amino acid catabolic process
GO:0015814,0, p-aminobenzoyl-glutamate transport
GO:0015951,0, purine ribonucleotide interconversion
GO:2001096,0, cellotriose transport
GO:0140270,0, gluconate import across plasma membrane
GO:0042218,0, 1-aminocyclopropane-1-carboxylate biosynthetic process
GO:0010270,0, photosystem II oxygen evolving complex assembly
GO:1901553,0, malonic acid transmembrane transport
GO:0010235,0, guard mother cell cytokinesis
GO:0009290,0, DNA import into cell involved in transformation
GO:0046721,0, formic acid secretion
GO:0051933,0, amino acid neurotransmitter reuptake
GO:0019622,0, 3-(3-hydroxy)phenylpropionate catabolic process
GO:0015834,0, peptidoglycan-associated peptide transport
GO:0032253,0, dense core granule localization
GO:0042884,0, microcin transport
GO:0019095,0, pole plasm mitochondrial rRNA localization
GO:0015776,0, capsular polysaccharide transport
GO:0045227,0, capsule polysaccharide biosynthetic process
GO:0071585,0, detoxification of cadmium ion
GO:0046286,0, flavonoid phytoalexin catabolic process
GO:0006573,0, valine metabolic process
GO:1990557,0, mitochondrial sulfate transmembrane transport
GO:0062095,0, endoplasmic reticulum-peroxisome tethering
GO:0061687,0, detoxification of inorganic compound
0098754,0,
GO:0140982,0, detoxification of aluminum ion
GO:0010127,0, mycothiol-dependent detoxification
GO:0140729,0, self-resistance to endogenously produced metabolite
GO:0140706,0, protein-containing complex localization to centriolar satellite
GO:0051934,0, catecholamine uptake involved in synaptic transmission
GO:0072742,0, SAGA complex localization to transcription regulatory region
GO:0034197,0, triglyceride transport
GO:0051877,0, pigment granule aggregation in cell center
GO:0051663,0, oocyte nucleus localization involved in oocyte dorsal/ventral axis specification
GO:0046842,0, trisporic acid biosynthetic process
GO:0042906,0, xanthine transport
GO:0035099,0, hemocyte migration
GO:2001089,0, maltotriose transport
GO:0048142,0, germarium-derived cystoblast division
GO:0071249,0, cellular response to nitrate
GO:0015731,0, 3-hydroxyphenyl propanoate transport
GO:0048279,0, vesicle fusion with endoplasmic reticulum
GO:0089704,0, L-glutamate transmembrane export from vacuole
GO:1905324,0, telomere-telomerase complex assembly
GO:0071836,0, nectar secretion
GO:0032309,0, icosanoid secretion
GO:0044858,0, plasma membrane raft polarization
GO:0018942,0, organometal metabolic process
GO:0006667,0, sphinganine metabolic process
GO:0046968,0, peptide antigen transport
GO:2001103,0, maltohexaose transport
GO:0015743,0, malate transport
GO:0042932,0, chrysobactin transport
GO:0100010,0, positive regulation of fever generation by prostaglandin biosynthetic process
GO:0033585,0, L-phenylalanine biosynthetic process from chorismate via phenylpyruvate
GO:1990010,0, compound eye retinal cell apoptotic process
GO:0052575,0, carbohydrate localization
GO:0019651,0, citrate catabolic process to diacetyl
GO:1901504,0, triazole transport
GO:0019397,0," gallate catabolic process via 2-pyrone-4,6-dicarboxylate"
GO:0140203,0, spermidine import across plasma membrane
GO:0048564,0, photosystem I assembly
GO:0019750,0, chloroplast localization
GO:0042920,0, 3-hydroxyphenylpropionic acid transmembrane transport
GO:0006033,0, chitin localization
GO:1901925,0, negative regulation of protein import into nucleus during spindle assembly checkpoint
GO:1902217,0, erythrocyte apoptotic process
GO:0015775,0, beta-glucan transport
GO:0046866,0, tetraterpenoid transport
GO:0015895,0, alkane transport
GO:0003397,0, neuron migration involved in amphid sensory organ dendrite retrograde extension
GO:0104004,0, cellular response to environmental stimulus
GO:0044820,0, mitotic telomere tethering at nuclear periphery
GO:0061796,0, membrane addition at site of mitotic cytokinesis
GO:0015720,0, allantoin transport
GO:0071506,0, cellular response to mycophenolic acid
GO:1902935,0, protein localization to septin ring
GO:1902022,0, L-lysine transport
GO:0046713,0, borate transport
GO:0015885,0, 5-formyltetrahydrofolate transport
GO:1901273,0, 2-dehydro-3-deoxy-D-gluconic acid catabolic process
GO:0015857,0, uracil transport
GO:0015841,0, chromaffin granule amine transport
GO:0035002,0," liquid clearance, open tracheal system"
GO:1905353,0, ciliary transition fiber assembly
GO:0019097,0, pole plasm mitochondrial srRNA localization
GO:1902222,0, erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process
GO:2001099,0, maltotetraose transport
GO:0071765,0, nuclear inner membrane organization
GO:0009148,0, pyrimidine nucleoside triphosphate biosynthetic process
GO:0044874,0, lipoprotein localization to outer membrane
GO:0071405,0, cellular response to methanol
GO:0015768,0, maltose transport
GO:0015876,0, acetyl-CoA transport
GO:2001087,0, sophorose transport
GO:0002494,0, lipid antigen transport
GO:0030185,0, nitric oxide transport
GO:0052545,0, callose localization
GO:0000916,0, actomyosin contractile ring contraction
GO:0052787,0, alpha-linked polysaccharide catabolism to maltopentaose
GO:0070416,0, trehalose metabolism in response to water deprivation
GO:0106034,0, protein maturation by [2Fe-2S] cluster transfer
GO:0170046,0, isopentenyl pyrophosphate import into mitochondrion
GO:0140024,0, plus-end-directed endosome transport along mitotic spindle midzone microtubule
GO:1990616,0, magnesium ion export from mitochondrion
GO:0009813,0, flavonoid biosynthetic process
GO:0000953,0, branched-chain amino acid catabolic process to carboxylic acid via Ehrlich pathway
GO:0030577,0, Lands organization
GO:1900553,0, asperfuranone catabolic process
GO:0032257,0, maintenance of dense core granule location
GO:0140591,0, nuclear envelope budding
GO:0016555,0, uridine to cytidine editing
GO:0070499,0, exosporium assembly
GO:0008103,0, oocyte microtubule cytoskeleton polarization
GO:0052805,0, imidazole-containing compound catabolic process
GO:0046086,0, adenosine biosynthetic process
GO:0010413,0, glucuronoxylan metabolic process
GO:1900813,0, monodictyphenone metabolic process
GO:0071303,0, cellular response to vitamin B3
GO:0019403,0, galactitol biosynthetic process
GO:1990536,0, phosphoenolpyruvate transmembrane import into Golgi lumen
GO:2001119,0, methanofuran metabolic process
GO:0141204,0, dipeptide transmembrane transport from lysosomal lumen to cytosol
GO:0097534,0, lymphoid lineage cell migration
GO:0010995,0, free ubiquitin chain depolymerization
GO:1902781,0, cellular response to nonane
GO:0008215,0, spermine metabolic process
GO:0160032,0, Toll receptor ligand protein activation cascade
GO:1901929,0, alpha-copaene metabolic process
GO:0036259,0, aerobic raffinose catabolic process
GO:0001995,0, norepinephrine-epinephrine catabolic process in blood stream
GO:0010132,0, dhurrin biosynthetic process
GO:1990937,0, xylan acetylation
GO:0071411,0, cellular response to fluoxetine
GO:0009300,0, antisense RNA transcription
GO:0006528,0, asparagine metabolic process
GO:0106220,0, pyocyanine biosynthetic process
GO:0034585,0, 21U-RNA metabolic process
GO:0046390,0, ribose phosphate biosynthetic process
GO:0006169,0, adenosine salvage
GO:0042251,0, maintenance of polarity of larval imaginal disc epithelium
GO:0043710,0, cell adhesion involved in multi-species biofilm formation
GO:0018012,0, N-terminal peptidyl-alanine trimethylation
GO:0001781,0, neutrophil apoptotic process
GO:0071726,0, cellular response to diacyl bacterial lipopeptide
GO:0052709,0," N-alpha,N-alpha,N-alpha-trimethyl-L-histidine biosynthetic process"
GO:0019349,0, ribitol metabolic process
GO:0019480,0, L-alanine oxidation to pyruvate via D-alanine
GO:0060036,0, notochord cell vacuolation
GO:0006053,0, N-acetylmannosamine catabolic process
GO:0090528,0, smooth septate junction assembly
GO:1903469,0, removal of RNA primer involved in mitotic DNA replication
GO:0071335,0, hair follicle cell proliferation
GO:0070395,0, lipoteichoic acid biosynthetic process
GO:1902821,0, 1-undecene biosynthetic process
GO:0046213,0, methyl ethyl ketone catabolic process
GO:0015010,0, tetrahydrocorphin metabolic process
GO:0032987,0, protein-lipid complex disassembly
GO:0000762,0, pheromone-induced unidirectional conjugation
GO:0010404,0, cell wall hydroxyproline-rich glycoprotein metabolic process
GO:0043632,0, modification-dependent macromolecule catabolic process
GO:2000903,0, cellooligosaccharide catabolic process
GO:0006786,0, heme C biosynthetic process
GO:0031170,0, ferricrocin metabolic process
GO:0016267,0," O-glycan processing, core 1"
GO:1904763,0, chaperone-mediated autophagy translocation complex assembly
GO:0046191,0, aerobic phenol-containing compound catabolic process
GO:0006433,0, prolyl-tRNA aminoacylation
GO:0030543,0, 2-micrometer plasmid partitioning
GO:0043578,0, nuclear matrix organization
GO:0033369,0, establishment of protein localization to mast cell secretory granule
GO:0009119,0, ribonucleoside metabolic process
GO:0046147,0, tetrahydrobiopterin catabolic process
GO:0071483,0, cellular response to blue light
GO:0033490,0, cholesterol biosynthetic process via lathosterol
GO:0019326,0, nitrotoluene metabolic process
GO:0033330,0, kaempferol O-glucoside biosynthetic process
GO:0005995,0, melibiose catabolic process
GO:0071432,0, peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion
GO:0051554,0, flavonol metabolic process
GO:0019428,0, allantoin biosynthetic process
GO:0061278,0, epithelial cell migration involved in mesonephric nephron tubule morphogenesis
GO:0015967,0, diadenosine tetraphosphate catabolic process
GO:0033611,0, oxalate catabolic process
GO:0061633,0, transport-coupled glycolytic process through glucose-6-phosphate
GO:0010683,0, tricyclic triterpenoid metabolic process
GO:0009174,0, pyrimidine ribonucleoside monophosphate biosynthetic process
GO:0016128,0, phytosteroid metabolic process
GO:0061509,0, asymmetric protein localization to old mitotic spindle pole body
GO:1900998,0, nitrobenzene catabolic process
GO:0048784,0, pigment biosynthetic process involved in pigment granule maturation
GO:0046347,0, mannosamine biosynthetic process
GO:0044577,0, D-xylose catabolic process to ethanol
GO:0033325,0, choline biosynthetic process via phosphoryl-ethanolamine
GO:0071250,0, cellular response to nitrite
GO:1901283,0," 5,6,7,8-tetrahydromethanopterin metabolic process"
GO:0150090,0," multiple spine synapse organization, single dendrite"
GO:0006575,0, cellular modified amino acid metabolic process
GO:0052783,0, reuteran metabolic process
GO:0018926,0, methanesulfonic acid metabolic process
GO:0018940,0, orcinol metabolic process
GO:0015778,0, hexuronide transmembrane transport
GO:0035834,0, indole alkaloid metabolic process
GO:0016138,0, glycoside biosynthetic process
GO:0019654,0, acetate fermentation
GO:0019524,0, keto-D-gluconate catabolic process
GO:1902124,0, (+)-pinoresinol metabolic process
GO:0043603,0, amide metabolic process
GO:1901115,0, erythromycin biosynthetic process
GO:0006602,0, creatinine catabolic process
GO:0018061,0, peptidyl-L-3-phenyllactic acid biosynthetic process from peptidyl-phenylalanine
GO:0046414,0, organomercury biosynthetic process
GO:0015996,0, chlorophyll catabolic process
GO:0042457,0, ethylene catabolic process
GO:0106005,0, RNA 5'-cap (guanine-N7)-methylation
GO:0060519,0, cell adhesion involved in prostatic bud elongation
GO:1903119,0, protein localization to actin cytoskeleton
GO:0042370,0, thiamine diphosphate dephosphorylation
GO:0048212,0, Golgi vesicle uncoating
GO:0044718,0, siderophore transmembrane transport
GO:0090617,0, mitochondrial mRNA 5'-end processing
GO:0019429,0, fluorene catabolic process
GO:1902755,0, sulfurated eukaryotic molybdenum cofactor(2-) metabolic process
GO:0051558,0, phlobaphene metabolic process
GO:0051157,0, arabitol catabolic process
GO:0071170,0, site-specific DNA replication termination
GO:0016325,0, oocyte microtubule cytoskeleton organization
GO:0071232,0, cellular response to histidine
GO:0046383,0, dTDP-rhamnose metabolic process
GO:0072731,0, cellular response to papulacandin B
GO:0008214,0, protein dealkylation
GO:0072527,0, pyrimidine-containing compound metabolic process
GO:0007272,0, ensheathment of neurons
GO:0140159,0, borate export across plasma membrane
GO:0097248,0, maintenance of protein location in cell cortex of cell tip
GO:0031580,0, membrane raft distribution
