GO Term,Number of Entries
GO:0060416,62
GO:0003299,0
GO:0036460,0
GO:0010044,19
GO:0071230,233
GO:0071389,1
GO:0001581,14
GO:0010438,0
GO:1902348,0
GO:0036273,0
GO:0090664,0
GO:0039560,0
GO:0046535,0
GO:0071725,0
GO:0009628,0
GO:0006289,103
GO:1903577,5
GO:0071319,0
GO:0031960,4
GO:0042467,0
GO:0097700,0
GO:0036297,164
GO:0071452,0
GO:0032492,0
GO:0141043,0
GO:0072725,0
GO:0072746,0
GO:1905960,0
GO:1903938,0
GO:0070944,1
GO:1905230,0
GO:0055093,36
GO:0072717,4
GO:0035455,7
GO:0002460,5
GO:0071632,0
GO:1904640,0
GO:0141117,0
GO:0071357,0
GO:1902483,0
GO:0034614,252
GO:0009604,0
GO:0080021,0
GO:1901426,0
GO:0017085,3
GO:1904011,0
GO:1905841,0
GO:0036006,8
GO:1903823,0
GO:0036215,0
GO:0009638,0
GO:1904612,1
GO:0072709,4
GO:1904615,0
GO:0097282,0
GO:0071448,0
GO:0001879,0
GO:0071284,2
GO:0052159,0
GO:0098672,0
GO:0071297,0
GO:0050906,3
GO:0071549,184
GO:0140429,0
GO:0071243,3
GO:1904307,0
GO:0006970,22
GO:0090549,0
GO:0034465,2
GO:0061433,2
GO:0048060,0
GO:0071302,0
GO:0039672,0
GO:0071407,294
GO:0009758,0
GO:0009958,0
GO:1990641,1
GO:0050961,0
GO:1904010,0
GO:0070848,32
GO:0098514,0
GO:0009721,0
GO:1990869,196
GO:0010244,0
GO:0010238,0
GO:1905712,0
GO:0010447,34
GO:1990637,1
GO:0009414,0
GO:1905238,0
GO:0009819,0
GO:0006968,17
GO:0071419,0
GO:0003038,0
GO:1904631,0
GO:0035743,0
GO:0043247,57
GO:0071724,0
GO:0071497,0
GO:1902140,0
GO:0080094,0
GO:1902075,0
GO:0002021,73
GO:0006962,0
GO:0002213,0
GO:1905378,0
GO:0071504,11
GO:0014875,0
GO:0009612,205
GO:0071387,0
GO:0002357,27
GO:0072435,0
GO:0071500,66
GO:0009601,0
GO:1903351,19
GO:0050883,43
GO:0072429,21
GO:0080185,0
GO:0050826,0
GO:0062031,0
GO:0071299,0
GO:0070914,83
GO:0043617,0
GO:0046774,0
GO:0002246,13
GO:1905429,7
GO:1903967,0
GO:0002418,0
GO:1990516,0
GO:1990785,3
GO:0043575,0
GO:1903840,0
GO:0071252,0
GO:0052085,0
GO:0014889,25
GO:1904374,0
GO:1901425,0
GO:0010274,0
GO:0009590,4
GO:1901597,0
GO:0002524,0
GO:0071382,0
GO:0000749,0
GO:0030330,64
GO:0071493,36
GO:0034616,22
GO:0070994,2
GO:0090721,7
GO:0043500,0
GO:1990643,0
GO:0043478,0
GO:0009645,0
GO:0010776,0
GO:0071213,0
GO:0044751,1
GO:0097332,0
GO:0045013,0
GO:0071465,0
GO:0050962,0
GO:1904642,0
GO:0002427,0
GO:0007234,0
GO:0140133,0
GO:0050966,81
GO:0050982,58
GO:0001580,20
GO:1901554,0
GO:0043278,47
GO:0071415,26
GO:0010690,0
GO:0046682,0
GO:0071228,39
GO:1901345,0
GO:0042542,115
GO:0034697,0
GO:0036177,0
GO:0071219,11
GO:1904386,0
GO:0042772,0
GO:0072764,0
GO:0090548,0
GO:0039722,0
GO:1904613,0
GO:0007634,0
GO:0014891,25
GO:0072723,0
GO:0072763,0
GO:0010353,0
GO:0071300,445
GO:1905631,4
GO:0009724,0
GO:0030682,3
GO:0071485,0
GO:0003032,1
GO:0009602,0
GO:0072707,0
GO:0062149,0
GO:1990418,2
GO:0036367,2
GO:0010117,0
GO:0070370,1
GO:0120168,4
GO:0098517,0
GO:1903925,0
GO:1901560,0
GO:0002463,0
GO:0043562,0
GO:0014076,0
GO:0010218,0
GO:0071449,0
GO:0001806,0
GO:0007602,21
GO:0030583,0
GO:0072756,0
GO:0009744,5
GO:0010226,6
GO:0052036,0
GO:0010039,53
GO:0052031,0
GO:0072714,0
GO:0036288,0
GO:0036499,23
GO:0009640,0
GO:0031102,4
GO:0036225,0
GO:1905390,0
GO:0071411,0
GO:0002425,0
GO:0042466,3
GO:0009589,1
GO:0034053,0
GO:0036110,0
GO:0034698,4
GO:0043480,0
GO:0071276,95
GO:0010106,1
GO:0009594,0
GO:0034059,2
GO:0034224,71
GO:0099048,0
GO:1904101,0
GO:1905837,0
GO:0061771,1
GO:0009743,5
GO:0097680,35
GO:0010213,0
GO:0071491,0
GO:0071278,0
GO:0002227,32
GO:0000710,0
GO:0039634,0
GO:0072762,0
GO:0141190,0
GO:0050960,21
GO:1901652,25
GO:1904843,16
GO:1901625,0
GO:0071313,133
GO:0045002,0
GO:0071314,27
GO:0071293,0
GO:0032496,660
GO:1990646,14
GO:0120169,1
GO:0014071,0
GO:0097280,0
GO:0042220,154
GO:0071306,0
GO:0009735,0
GO:0010777,0
GO:1902781,0
GO:0071506,0
GO:0048678,132
GO:1903576,0
GO:0099018,0
GO:1901596,0
GO:0014863,0
GO:1990127,0
GO:0043503,3
GO:0009266,34
GO:0034516,27
GO:1902439,0
GO:1902112,0
GO:0002368,0
GO:0043482,0
GO:0051214,0
GO:0039587,0
GO:0071105,0
GO:0003127,0
GO:1905242,0
GO:0071216,0
GO:0002439,0
GO:0061984,0
GO:0033595,0
GO:0006950,8
GO:0071482,114
GO:0071456,690
GO:0072708,2
GO:0031669,173
GO:0050973,13
GO:1904308,0
GO:1901653,57
GO:0006982,0
GO:0039574,0
GO:0071275,6
GO:0072729,0
GO:0071410,0
GO:0032494,24
GO:0071282,0
GO:0072716,0
GO:0071403,1
GO:0070987,13
GO:0002211,0
GO:0071296,0
GO:0036299,0
GO:0071474,88
GO:0048757,0
GO:0072758,0
GO:0009415,10
GO:0071374,13
GO:0010164,0
GO:0061429,0
GO:0080033,0
GO:0039673,0
GO:1904015,0
GO:0002413,0
GO:1904422,0
GO:0097011,42
GO:0000410,0
GO:0071330,0
GO:0010247,0
GO:0061431,4
GO:0097397,0
GO:1901654,0
GO:0039505,0
GO:0019731,109
GO:0070417,63
GO:0070943,0
GO:0071240,0
GO:1905308,0
GO:0070555,86
GO:1904373,0
GO:1904400,0
GO:0009611,317
GO:0000756,0
GO:0039639,0
GO:1990268,0
GO:0005513,90
GO:0071326,0
GO:0071376,12
GO:0072705,0
GO:0072347,16
GO:0097211,12
GO:1902141,0
GO:0002212,0
GO:1904473,0
GO:0045003,15
GO:0072750,2
GO:1901699,0
GO:1903926,15
GO:0030912,0
GO:0071246,0
GO:0006283,9
GO:0009606,0
GO:1903494,1
GO:0031142,0
GO:0016036,35
GO:1904147,0
GO:1903937,0
GO:0052160,0
GO:0006284,177
GO:0140374,196
GO:0071384,15
GO:0071356,309
GO:0150103,25
GO:0034976,246
GO:0006290,32
GO:1903544,4
GO:1904772,40
GO:0097395,0
GO:0050981,0
GO:0003023,0
GO:0071398,41
GO:0035903,0
GO:0010196,0
GO:0009733,0
GO:0051467,0
GO:1902520,0
GO:1901497,0
GO:0071492,21
GO:0039537,0
GO:0090550,0
GO:0010040,22
GO:0071501,0
GO:0000436,0
GO:0120218,0
GO:0071468,76
GO:1904566,2
GO:0071347,122
GO:0140423,0
GO:0072718,0
GO:0048545,107
GO:0032869,466
GO:0061413,0
GO:0061415,0
GO:0014877,0
GO:1905442,0
GO:0009616,0
GO:1904316,3
GO:0070339,0
GO:0071244,0
GO:0016064,17
GO:0051468,0
GO:0009595,7
GO:0010114,0
GO:0009727,0
GO:0034341,80
GO:1904611,0
GO:0071406,0
GO:1901500,0
GO:0097315,0
GO:0060245,2
GO:0050911,2267
GO:0106300,13
GO:1905389,0
GO:1901325,0
GO:0072724,0
GO:0061476,0
GO:0099047,0
GO:0002236,0
GO:0006978,26
GO:0009609,10
GO:0014070,414
GO:0072485,0
GO:0071303,0
GO:0036270,0
GO:0009959,0
GO:0072719,19
GO:0097398,27
GO:0001660,23
GO:0071371,49
GO:0009630,0
GO:0030968,134
GO:0032493,0
GO:0000305,0
GO:1902788,0
GO:0000435,3
GO:0002411,0
GO:0106299,0
GO:0036178,0
GO:0072739,0
GO:1990928,1
GO:0120127,0
GO:0043481,0
GO:0071727,0
GO:0071479,316
GO:0010224,21
GO:0042092,10
GO:0046678,0
GO:0071386,0
GO:0002388,0
GO:1904017,3
GO:1904421,0
GO:0071292,0
GO:0071308,0
GO:0071373,4
GO:1903014,0
GO:0070673,21
GO:0010041,5
GO:1904482,0
GO:0097308,0
GO:1990918,81
GO:0010042,12
GO:0051403,81
GO:0003029,0
GO:1990383,0
GO:0071307,0
GO:0019740,0
GO:0000434,0
GO:0070392,0
GO:1905232,54
GO:0007231,61
GO:0070671,12
GO:0045471,642
GO:0140460,0
GO:0072749,0
GO:0052164,0
GO:0071290,0
GO:1904584,0
GO:0043434,319
GO:0141082,0
GO:0002234,0
